sample	TotalReads_PostMrkDelDup	MedianOnTargetDepth_PostMrkDelDup	FractionDuplicateReads	FractionOnTarget	ontarget_perc
sample_036_PC	88392272	129	0.42545200000000005	0.5842335407	58.42335407
sample_037_PC	117866421	195	0.417702	0.6390473953	63.90473953
sample_038_PC	128908940	191	0.22757199999999997	0.6033213575	60.33213575
sample_039_PC	83273898	132	0.44435399999999997	0.6325335229	63.25335229
sample_040_PC	177327363	247	0.246444	0.5240213324	52.40213324
sample_041_PC	99449565	180	0.26861599999999997	0.782179669	78.21796690000001
sample_042_PC	38973256	65	0.22449000000000002	0.7353280503	73.53280503
sample_043_PC	103845960	177	0.26898299999999997	0.7158767635	71.58767635
sample_044_PC	157951566	223	0.309205	0.5629621718	56.29621718
sample_045_PC	120110611	186	0.272687	0.6123607472	61.23607472
sample_046_PC	115454884	203	0.086492	0.515423147	51.542314700000006
sample_047_PC	169914152	253	0.277265	0.5776771341	57.76771341
sample_048_PC	108084793	163	0.40720500000000004	0.5592424711999999	55.92424712
sample_049_PC	100558210	160	0.41957799999999995	0.615810282	61.5810282
sample_050_PC	105157184	158	0.343043	0.6169798887	61.69798887
sample_051_PC	171795974	252	0.27774299999999996	0.5775466409000001	57.75466409
sample_052_PC	169331177	242	0.328464	0.5245735198	52.45735198
sample_053_PC	105220979	186	0.093806	0.6221516604999999	62.21516605
sample_054_PC	52965160	92	0.274066	0.7471206958	74.71206958
sample_055_PC	108421999	196	0.252052	0.7445946470999999	74.45946471
sample_056_PC	107202300	181	0.10862899999999999	0.5205412319	52.05412319
sample_057_PC	107458824	166	0.35688000000000003	0.614980041	61.498004099999996
sample_058_PC	106811436	162	0.42673900000000003	0.5826306314999999	58.26306315
sample_059_PC	110328218	159	0.29038800000000003	0.6305699925	63.05699925
sample_060_PC	97693317	149	0.378406	0.6260692491	62.60692491
sample_061_PC	115987411	174	0.31118	0.6519692199	65.19692199
sample_062_PC	107892760	157	0.311728	0.6632502066	66.32502066
sample_063_PC	159922666	240	0.284473	0.6223947585	62.23947585
sample_064_PC	114186268	169	0.30562	0.648375502	64.8375502
sample_065_PC	119595254	170	0.307817	0.5541999209	55.41999209
